title,recipes
Картошка,Драники
Морковка,"Морковка, Пибимпаб, Плов"
Яйцо,"Драники, Яичница, Салат с кальмаром и яйцом, Панкейки, Фасоль в яйце, Гренки, Сырные сырники, Омлет, Конверты из лаваша с курицей, Яйцо бенедикт, Муравейник, Сырники, Овсяноблин, Яйцо вареное, Блины, Салат яйцо с зеленью и тунцом"
Соль,"Драники, Яичница, Панкейки, Фасоль в яйце, Тушеная печень со сметаной, Гренки, Жареная курица, Сырные сырники, Омлет, Конверты из лаваша с курицей, Макароны с грибами, Овсяноблин, Плов, Блины, Курица су-вид"
Мука,"Драники, Панкейки, Сырные сырники, Оладьи, Муравейник, Сырники, Блины"
Подсолнечное масло,"Драники, Яичница, Панкейки, Фасоль в яйце, Гренки, Жареная курица, Сырные сырники, Омлет, Конверты из лаваша с курицей, Оладьи, Тушеные овощи, Макароны с грибами, Овсяноблин, Плов"
Кислое молоко,Блины
Макароны,"Макароны с баклажанами, Макароны, Макароны с грибами"
Кальмар,Салат с кальмаром и яйцом
Салат,"Салат с кальмаром и яйцом, Греческий салат"
Майонез,"Салат с кальмаром и яйцом, Майонез, Бутерброд, Овощной салат, Салат яйцо с зеленью и тунцом"
Помидор,"Яичница, Овощной салат, Греческий салат"
Болгарский перец,"Яичница, Перец, Тушеные овощи, Греческий салат"
Сахар,"Панкейки, Пшенка, Оладьи, Муравейник, Сырники, Овсянка на молоке, Рисовая каша на молоке, Блины"
Разрыхлитель,Панкейки
Сода,"Панкейки, Оладьи, Муравейник"
Уксус столовый,Панкейки
Гречка,Гречка
Йогурт,"Йогурт, Гранола"
Фасоль,"Фасоль в яйце, Тушеные овощи"
Изюм,"Гранола, Ореховые батончики"
Кешью,"Гранола, Кешью, Ореховые батончики"
Кефир,"Грибные вафли, Оладьи"
Шампиньоны,"Грибные вафли, Макароны с грибами"
Миндаль,"Миндаль, Ореховые батончики"
Апельсин,Апельсин
Яблоко,Яблоко
Фундук,Фундук
Банан,Банан
Груша,Груша
Финики,"Финики, Ореховые батончики"
Мандарин,Мандарин
Дыня,Дыня
Грейпфрут,Грейпфрут
Помело,Помело
Арбуз,Арбуз
Огурец,"Огурец, Бутерброд, Яйцо бенедикт, Овощной салат, Греческий салат"
Редька,"Редька, Пибимпаб"
Карпаччо,"Карпаччо, Яйцо бенедикт"
Сыр,"Сыр, Сырные сырники"
Творожный сырок,Творожный сырок
Мороженое,Мороженое
Мед,"Мед, Ореховые батончики"
Варенье,Варенье
Шоколадная паста,Шоколадная паста
Сметана,"Сметана, Тушеная печень со сметаной, Муравейник"
Печенье утреннее,Печенье утреннее
Пшено,Пшенка
Сливочное масло,"Пшенка, Жареная курица, Муравейник, Овсянка на молоке, Рисовая каша на молоке"
Овсяные хлопья,"Ореховые батончики, Овсянка на молоке, Овсяноблин"
Печень куриная,Тушеная печень со сметаной
Лук,"Тушеная печень со сметаной, Жареная курица, Плов"
Черный перец,Тушеная печень со сметаной
Хлеб,"Гренки, Бутерброд, Тост, Яйцо бенедикт"
Молоко,"Гренки, Омлет, Конверты из лаваша с курицей, Кофе, Овсянка на молоке, Овсяноблин, Рисовая каша на молоке"
Курица,"Жареная курица, Конверты из лаваша с курицей, Курица су-вид"
Рис,"Рис, Пибимпаб, Плов, Рисовая каша на молоке"
Зелень,Сырные сырники
Вафли «Коровка»,Вафли «Коровка»
Колбаса,Бутерброд
Тесто для вареников,Вареники с капустой
Тушеная капуста,Вареники с капустой
Творожный сыр,"Тост, Конверты из лаваша с курицей, Творожный сыр, Яйцо бенедикт"
Лаваш,Конверты из лаваша с курицей
Кофе,Кофе
Сиртаки,Сыр сиртаки
Бретцели,Бретцели
Маргарин,Муравейник
Вареная сгущенка,Муравейник
Шоколад,Муравейник
Свинина,"Пибимпаб, Плов"
Кочудян,Пибимпаб
Творог,Сырники
Пельмени,Пельмени
Чеснок,Плов
Зира,Плов
Чечевица,Чечевица
Баклажаны,Макароны с баклажанами
Томатная паста,"Макароны с баклажанами, Томатный соус"
Тунец,Салат яйцо с зеленью и тунцом
Пекинская капуста,Салат яйцо с зеленью и тунцом
Маслины,Греческий салат
Фета,Греческий салат
Оливковое масло,Греческий салат
Кинза,Греческий салат